Compound_CID,Name,Molecular_Weight,Polar_Area,Complexity,XLogP,Heavy_Atom_Count,H-Bond_Donor_Count,H-Bond_Acceptor_Count,Rotatable_Bond_Count
61460,"Sodium arsenate, dibasic heptahydrate",312.01,90.4,46.5,,14,8,11,0
45114068,Pharmakon1600-01300027,875.1,170.0,1680.0,4.1,62,3,14,8
91760,Sulcotrione,328.8,93.7,546.0,1.5,21,0,5,3
86160,Spiroxamine,297.5,21.7,316.0,4.2,21,0,3,6
6112114,Kresoxim-Methyl,313.3,57.1,410.0,4.1,23,0,5,7
36242,Procymidone,284.13,37.4,405.0,3.0,18,0,2,1
10342051,Esfenvalerate,419.9,59.3,586.0,6.2,30,0,4,8
9832912,Moxidectin,639.8,116.0,1340.0,4.3,46,2,9,3
12056759,Propoxycarbazone sodium,420.4,132.0,737.0,,28,0,9,7
6419971,"(1R,4S,5'S,6R,6'R,8R,10E,13S,14E,16E,20R,21R,24S)-6'-[(2S)-butan-2-yl]-21,24-dihydroxy-12-[(2R,4S,5S,6S)-5-[(2S,4S,5S,6S)-5-hydroxy-4-methoxy-6-methyloxan-2-yl]oxy-4-methoxy-6-methyloxan-2-yl]oxy-5',11,13,22-tetramethylspiro[3,7,19-trioxatetracyclo[15.6.1.14,8.020,24]pentacosa-10,14,16,22-tetraene-6,2'-oxane]-2-one",875.1,170.0,1680.0,4.1,62,3,14,8
62773,Heptenophos,250.61,44.8,368.0,1.3,15,0,4,4
3048,"2,7:3,6-Dimethanonaphth[2,3-b]oxirene, 3,4,5,6,9,9-hexachloro-1a,2,2a,3,6,6a,7,7a-octahydro-",380.9,12.5,516.0,3.7,19,0,1,0
3085416,"(1R,4S,5'S,6R,6'R,8R,12S,13S,20R,21R,24S)-6'-[(2S)-butan-2-yl]-21,24-dihydroxy-12-[(2R,4S,5S,6S)-5-[(2S,4S,5S,6S)-5-hydroxy-4-methoxy-6-methyloxan-2-yl]oxy-4-methoxy-6-methyloxan-2-yl]oxy-5',11,13,22-tetramethylspiro[3,7,19-trioxatetracyclo[15.6.1.14,8.020,24]pentacosa-10,14,16,22-tetraene-6,2'-oxane]-2-one",875.1,170.0,1680.0,4.1,62,3,14,8
656612,Transfluthrin,371.2,26.3,482.0,5.0,23,0,6,5
23706212,Warfarin Potassium,346.4,66.4,507.0,,24,0,4,4
5485188,"(4Z)-3-((2-chloro-1,3-thiazol-5-yl)methyl)-5-methyl-N-nitro-1,3,5-oxadiazinan-4-imine",291.72,115.0,352.0,1.5,18,0,6,2
107901,Epoxiconazole,329.8,43.2,421.0,3.2,23,0,4,4
1730,p-(Chloromercuri)benzoic acid,357.16,37.3,143.0,,11,1,2,1
3000605,Ethylenebisdithiocarbamic acid,212.4,90.2,119.0,1.2,10,4,4,3
178795,Quizalofop,344.7,81.5,431.0,3.6,24,1,6,5
93541,Novaluron,492.7,76.7,661.0,5.8,32,2,12,6
6440554,gamma-Cyhalothrin,449.8,59.3,736.0,6.1,31,0,7,7
9959038,Milbemycin A4,542.7,94.5,1060.0,3.6,39,2,7,1
9969573,"3-(2,5-Dimethylphenyl)-8-methoxy-2-oxo-1-azaspiro(4.5)dec-3-en-4-yl ethyl carbonate",373.4,73.9,606.0,3.2,27,1,5,6
13930,"2,5-Methano-2H-indeno[1,2-b]oxirene, 2,3,4,5,6,7,7-heptachloro-1a,1b,5,5a,6,6a-hexahydro-, (1aalpha,1bbeta,2alpha,5alpha,5abeta,6beta,6aalpha)-",389.3,12.5,504.0,3.7,18,0,1,0
124870718,"(1R,4S,5'S,6R,6'S,8R,10E,12S,13S,14E,16E,20R,21R,24S)-6'-[(2S)-butan-2-yl]-21,24-dihydroxy-12-[(2R,4S,5S,6S)-5-[(2S,4S,5S,6S)-5-hydroxy-4-methoxy-6-methyloxan-2-yl]oxy-4-methoxy-6-methyloxan-2-yl]oxy-5',11,13,22-tetramethylspiro[3,7,19-trioxatetracyclo[15.6.1.14,8.020,24]pentacosa-10,14,16,22-tetraene-6,2'-oxane]-2-one",875.1,170.0,1680.0,4.1,62,3,14,8
155970341,"(10Z,14Z)-6'-butan-2-yl-21,24-dihydroxy-12-[5-(5-hydroxy-4-methoxy-6-methyloxan-2-yl)oxy-4-methoxy-6-methyloxan-2-yl]oxy-5',11,13,22-tetramethylspiro[3,7,19-trioxatetracyclo[15.6.1.14,8.020,24]pentacosa-10,14,16,22-tetraene-6,2'-oxane]-2-one",875.1,170.0,1680.0,4.1,62,3,14,8
54676884,Difenacoum,444.5,46.5,757.0,6.9,34,1,3,3
18985,Anabaseine,160.22,25.3,175.0,1.0,12,0,2,1
91462,Nornicotine,148.2,24.9,125.0,0.2,11,1,2,1
50367,"2-(Tert-butylimino)-5-phenyl-3-(propan-2-yl)-1,3,5-thiadiazinan-4-one",305.4,61.2,408.0,3.8,21,0,3,3
11578610,Cyantraniliprole,473.7,113.0,672.0,3.9,29,2,5,4
9828343,"(6R,25R)-5-O-Demethyl-28-deoxy-6,28-epoxy-25-methylmilbemycin B",528.7,94.5,1040.0,3.1,38,2,7,0
5281872,Discipline,422.9,26.3,622.0,6.0,29,0,5,6
12565,precocene II,220.26,27.7,272.0,3.3,16,0,3,2
12310946,Isodrin,364.9,0.0,481.0,4.5,18,0,0,0
71308642,"(1R,4S,5'S,6R,6'R,8R,10Z,12S,13S,14Z,20R,21R,24S)-6'-[(2S)-butan-2-yl]-21,24-dihydroxy-12-[(2R,4S,5S,6S)-5-[(2S,4S,5S,6S)-5-hydroxy-4-methoxy-6-methyloxan-2-yl]oxy-4-methoxy-6-methyloxan-2-yl]oxy-5',11,13,22-tetramethylspiro[3,7,19-trioxatetracyclo[15.6.1.14,8.020,24]pentacosa-10,14,16,22-tetraene-6,2'-oxane]-2-one",875.1,170.0,1680.0,4.1,62,3,14,8
119339,Allosamidin,622.6,262.0,1020.0,-5.7,43,9,15,10
177355,"Benzoic acid, 2-((((4,5-dihydro-4-methyl-5-oxo-3-propoxy-1H-1,2,4-triazol-1-yl)carbonyl)amino)sulfonyl)-, methyl ester",398.4,143.0,731.0,2.0,27,1,8,7
4330618,epi-Ivermectin B1a,875.1,170.0,1680.0,4.1,62,3,14,8
6191,"2,3-Dinitrophenol",184.11,112.0,220.0,1.9,13,1,5,0
6436606,Acrinathrin,541.4,85.6,917.0,6.8,38,0,12,10
135515530,Cyflufenamid,412.4,50.7,588.0,5.0,29,1,8,7
91658,Permethric acid,209.07,37.3,241.0,3.3,12,1,2,2
11650986,Emamectin Benzoate,1008.2,199.0,1850.0,,72,4,16,10
643941,(Z)-3-Hexenal,98.14,17.1,64.599,1.1,7,0,1,3
19520,Nonachlor,444.2,0.0,447.0,5.2,19,0,0,0
146159550,"(6R,24S)-6'-butan-2-yl-21,24-dihydroxy-12-[5-(5-hydroxy-4-methoxy-6-methyloxan-2-yl)oxy-4-methoxy-6-methyloxan-2-yl]oxy-5',11,13,22-tetramethylspiro[3,7,19-trioxatetracyclo[15.6.1.14,8.020,24]pentacosa-10,14,16,22-tetraene-6,2'-oxane]-2-one",875.1,170.0,1680.0,4.1,62,3,14,8
91750,Pyrazosulfuron-ethyl,414.4,172.0,645.0,0.7,28,2,10,8
11292824,Mandipropamid,411.9,56.8,598.0,3.9,29,1,4,10
17076,"N,N-Diethyl-2-phenylacetamide",191.27,20.3,169.0,2.1,14,0,1,4
3078139,Fipronil sulfone,453.1,110.0,706.0,4.7,27,1,11,2
7334,Ethyl chrysanthemate,196.29,26.3,259.0,4.1,14,0,2,4
2724411,Malachite Green Oxalate,927.0,242.0,666.0,,68,4,14,7
34217,"4-Hydroxy-2,5,6-trichloroisophthalonitrile",247.5,67.8,317.0,2.5,14,1,3,0
443031,Bispyribac,430.4,144.0,509.0,3.0,31,1,12,9
6450531,Eprinomectin,900.1,179.0,1830.0,3.5,64,3,14,8
91619,Phosphinothricin,181.13,101.0,193.0,-5.0,11,3,5,4
5842000,Tetrachlorovinphos,366.0,44.8,371.0,3.5,19,0,4,5
57182275,"(1R,4S,5'S,6R,6'R,8R,12S,13S,20R,21R,24S)-6'-[(2R)-butan-2-yl]-21,24-dihydroxy-12-[(2R,4S,5S,6S)-5-[(2S,4S,5S,6S)-5-hydroxy-4-methoxy-6-methyloxan-2-yl]oxy-4-methoxy-6-methyloxan-2-yl]oxy-5',11,13,22-tetramethylspiro[3,7,19-trioxatetracyclo[15.6.1.14,8.020,24]pentacosa-10,14,16,22-tetraene-6,2'-oxane]-2-one",875.1,170.0,1680.0,4.1,62,3,14,8
164186531,"(1R,4S,5'S,6R,6'R,8R,10E,12S,13S,14E,16E,20R,21R,24S)-6'-[(2S)-butan-2-yl]-21,24-dihydroxy-12-[(2R,4S,5S,6R)-5-[(2S,4S,5S,6R)-5-hydroxy-4-methoxy-6-methyloxan-2-yl]oxy-4-methoxy-6-methyloxan-2-yl]oxy-5',11,13,22-tetramethylspiro[3,7,19-trioxatetracyclo[15.6.1.14,8.020,24]pentacosa-10,14,16,22-tetraene-6,2'-oxane]-2-one",875.1,170.0,1680.0,4.1,62,3,14,8
91701,Fluazifop,327.25,68.7,397.0,2.9,23,1,8,5
135391144,"(1S,4S,5'S,6R,6'R,8R,10E,12S,13S,14E,20R,21R,24S)-6'-[(2S)-butan-2-yl]-21,24-dihydroxy-12-[(2R,4S,5S,6S)-5-[(2S,4S,5S,6S)-5-hydroxy-4-methoxy-6-methyloxan-2-yl]oxy-4-methoxy-6-methyloxan-2-yl]oxy-5',11,13,22-tetramethylspiro[3,7,19-trioxatetracyclo[15.6.1.14,8.020,24]pentacosa-10,14,16,22-tetraene-6,2'-oxane]-2-one",875.1,170.0,1680.0,4.1,62,3,14,8
70678372,"(1R,4S,5'S,6R,6'R,8R,10E,12S,13S,14E,20R,21R,24S)-6'-[(2S)-butan-2-yl]-21,24-dihydroxy-12-[(2R,4S,5S,6S)-5-[(2S,4S,5S,6S)-5-hydroxy-4-methoxy-6-methyloxan-2-yl]oxy-4-methoxy-6-methyloxan-2-yl]oxy-5',11,13,22-tetramethylspiro[3,7,19-trioxatetracyclo[15.6.1.14,8.020,24]pentacosa-10,14,16,22-tetraene-6,2'-oxane]-2-one",875.1,170.0,1680.0,4.1,62,3,14,8
3317081,"1-((3-(2-Chlorophenyl)-2-(4-fluorophenyl)-2-oxiranyl)methyl)-1H-1,2,4-triazole",329.8,43.2,421.0,3.2,23,0,4,4
1617113,Quizalofop-p-ethyl,372.8,70.5,459.0,4.3,26,0,6,7
21117946,Neosaxitoxin,315.29,194.0,566.0,-4.3,22,7,7,3
11549937,Emmamectin isomer,886.1,162.0,1750.0,4.1,63,3,14,9
4353,N-Bromoacetamide,137.96,29.1,44.9,0.1,5,1,1,0
43859,trans-Permethrin,391.3,35.5,521.0,6.5,26,0,3,7
26927,Phoxim,298.3,95.9,389.0,4.4,19,0,6,7
91695,"4-(3-(4-(1,1-Dimethylethyl)phenyl)-2-methylpropyl)-2,6-dimethylmorpholine",303.5,12.5,317.0,5.2,22,0,2,5
11496052,Cyflumetofen,447.4,76.4,713.0,5.5,32,0,8,9
9828359,Noviflumuron,529.1,67.4,708.0,6.5,33,2,12,5
12708735,(+)-Cismethrin,338.4,39.4,497.0,6.1,25,0,3,7
16682983,p-Aminophenylmercuric acetate,351.75,52.3,155.0,,12,1,3,3
24500,"Sodium arsenate, dibasic",185.907,83.4,46.5,,7,1,4,0
53297414,Spinetoram,748.0,111.0,1260.0,5.9,53,0,11,10
5493321,Methyl (2E)-(methoxyimino)(2-((((Z)-(1-(3-(trifluoromethyl)phenyl)ethylidene)amino)oxy)methyl)phenyl)acetate,408.4,69.5,607.0,4.9,29,0,9,8
11295,Malachite green cation,329.5,6.3,516.0,4.8,25,0,1,3
9812710,Ivermectin (Standard),1736.2,340.0,3340.0,,123,6,28,15
2743,Chrysanthemic Acid,168.23,37.3,234.0,3.4,12,1,2,2
17776,Dinoseb acetate,282.25,118.0,388.0,3.1,20,0,6,4
213027,1-[(2-Chlorothiazol-5-yl)methyl]-2-methyl-3-nitro-guanidine,249.68,123.0,258.0,1.2,15,2,5,4
46893156,Emamectin,886.1,162.0,1750.0,4.1,63,3,14,9
91581,"Phenothrin, trans-(-)-",350.4,35.5,512.0,6.2,26,0,3,7
135541675,(2Z)-1-[(6-chloropyridin-3-yl)methyl]-N-nitroimidazolidin-2-imine,255.66,86.3,319.0,1.2,17,1,4,2
39484,1-Methyl-4-phenylpyridinium,170.23,3.9,141.0,2.7,13,0,0,1
12318,Diethylmercury,258.709,0.0,11.1,,5,0,0,0
11496886,Iodosulfuron,493.24,169.0,629.0,1.9,26,3,9,5
9960732,Rolliniastatin-1,622.9,105.0,801.0,9.7,44,3,7,25
3081364,Dicyclanil,190.21,114.0,242.0,0.6,14,3,6,2
91687,Anilofos,367.9,96.2,382.0,3.8,21,0,5,7
97176,Canthin-6-One,220.23,34.9,378.0,2.4,17,0,2,0
90363,Dimethachlon,244.07,37.4,269.0,1.6,15,0,2,1
56608859,Beta-Cyfluthrin,434.3,59.3,679.0,6.2,29,0,5,7
75945,"2-Methyl-N,N-diethylbenzamide",191.27,20.3,187.0,3.1,14,0,1,3
9831636,Jasplakinolide,709.7,141.0,1140.0,5.6,47,4,6,3
11421831,Destruxin A,577.7,145.0,1020.0,2.3,41,2,7,5
20593234,Benthiavalicarb,339.4,120.0,452.0,2.8,23,3,6,5
167250,Cacodylate,136.99,40.1,53.8,,5,0,2,0
6435890,Abamectin [ANSI:ISO],1732.1,340.0,3430.0,,123,6,28,15
86289068,Fuklasin,416.5,109.0,211.0,,19,0,6,0
5288811,[3H]methyllycaconitine,682.8,144.0,1380.0,1.0,49,2,11,10
167454,Propisochlor,283.79,29.5,283.0,3.9,19,0,2,6
23682789,Bispyribac-sodium,452.3,147.0,515.0,,32,0,12,9
5319146,Rolliniastatin-2,622.9,105.0,801.0,9.7,44,3,7,25
9578570,Methyl (2Z)-(methoxyimino)(2-((((E)-(1-(3-(trifluoromethyl)phenyl)ethylidene)amino)oxy)methyl)phenyl)acetate,408.4,69.5,607.0,4.9,29,0,9,8
12313421,Npc328442,444.2,0.0,447.0,5.2,19,0,0,0
93460,Pyraclofos,360.8,78.7,383.0,3.8,22,0,5,8
98491,"1-Chloro-2,2-bis(4-chlorophenyl)ethylene",283.6,0.0,235.0,6.1,17,0,0,2
5360521,(Z)-Methomyl,162.21,76.0,147.0,0.6,10,1,4,3
11564649,Basta,198.16,102.0,193.0,,12,4,6,4
25244585,2-Ammonio-4-(methylphosphinato)butanoate,180.12,108.0,179.0,-3.8,11,1,4,3
11067463,"1-[[(2S,3S)-3-(2-Chlorophenyl)-2-(4-fluorophenyl)oxiran-2-yl]methyl]-1,2,4-triazole",329.8,43.2,421.0,3.2,23,0,4,4
135529435,"(E)-N'-[(2-chloro-1,3-thiazol-5-yl)methyl]-N-methyl-N''-nitroguanidine",249.68,123.0,258.0,1.3,15,2,5,4
641266,3-((2R)-Piperidin-2-Yl)Pyridine,162.23,24.9,136.0,1.0,12,1,2,1
6107844,Methylbromfenvinphos,375.96,44.8,345.0,2.4,18,0,4,5
3001858,Metam,107.2,45.1,42.9,0.7,5,2,2,0
44575473,Methyllycanonitine,682.8,144.0,1380.0,1.0,49,2,11,10
5462314,Bialaphos,323.28,159.0,455.0,-4.9,21,5,7,8
11136686,Emamectin B1A,886.1,162.0,1750.0,4.1,63,3,14,9
12521357,(Methoxyethyl)mercury chloride,295.13,9.2,26.8,,6,0,1,2
6858006,Avermectin,873.1,170.0,1730.0,3.8,62,3,14,8
16760141,"Moxidectin, (23Z)-",639.8,116.0,1340.0,4.3,46,2,9,3
3086172,"(R)-cyano(3-phenoxyphenyl)methyl (1S,3S)-3-(2,2-dichloroethenyl)-2,2-dimethylcyclopropanecarboxylate",416.3,59.3,643.0,6.0,28,0,4,7
71310221,Pyrethrum,700.9,113.0,1390.0,,51,0,8,16
107646,"n-(3-((2-Chlorothiazol-5-yl)methyl)-5-methyl-1,3,5-oxadiazinan-4-ylidene)nitramide",291.72,115.0,352.0,1.5,18,0,6,2
18594026,"N-Trichloromethylthio-cis-delta(sup 4)-cyclohexene-1,2-dicarboximide",300.6,62.7,340.0,2.4,16,0,3,1
71657865,Isofetamid,359.5,83.6,491.0,4.7,25,1,4,6
6441225,Strobilurin G,442.5,63.2,741.0,5.6,32,0,6,9
3032447,"2,4-Dinitro-6-(1'-methylheptyl)phenol",296.32,112.0,352.0,5.7,21,1,5,6
62086,(-)-cis-Permethrin,391.3,35.5,521.0,6.5,26,0,3,7
51347655,Benzovindiflupyr,398.2,46.9,613.0,4.0,26,1,4,3
213016,Methyl (methoxyimino)(2-((((1-(3-(trifluoromethyl)phenyl)ethylidene)amino)oxy)methyl)phenyl)acetate,408.4,69.5,607.0,4.9,29,0,9,8
2087,"1,2,3,4,10,10-Hexachloro-1,4,4a,5,8,8a-hexahydro-1,4,5,8-dimethanonaphthalene",364.9,0.0,481.0,4.5,18,0,0,0
6434488,Vaporthrin,274.4,26.3,481.0,5.0,20,0,2,6
135527764,1-[(6-chloropyridin-3-yl)methyl]-N-nitroimidazolidin-2-imine,255.66,86.3,319.0,1.2,17,1,4,2
115223,"1-(4-Ethynylphenyl)-4-propyl-2,6,7-trioxabicyclo(2.2.2)octane",258.31,27.7,348.0,2.7,19,0,3,4
3033155,Nithiazine,160.2,83.2,164.0,1.2,10,1,4,0
22635267,5-(2-Chloro-4-(trifluoromethyl)phenoxy)-2-nitrobenzoate,360.65,95.2,479.0,4.5,24,0,8,2
23667696,"MERCURY, (p-CARBOXYPHENYL)HYDROXY-, SODIUM SALT",361.7,41.1,135.0,,12,1,3,2
11486133,Orysastrobin,391.4,115.0,630.0,2.5,28,1,9,10
23677060,Monosodium arsenate,163.925,80.6,61.9,,6,2,4,0
12164,"Mercury, chloro(4-hydroxyphenyl)-",329.15,20.2,81.1,,9,1,1,0
13346,Demeton-O-methyl,230.3,85.1,146.0,2.3,12,0,5,7
5362461,Sodium Picramate,221.1,141.0,247.0,,15,1,6,0
11124994,Bullatacin,622.9,105.0,801.0,9.7,44,3,7,25
10938769,1S-cis-Bifenthrin,422.9,26.3,622.0,6.0,29,0,5,6
5357402,Triphenylstannanyl,350.0,0.0,202.0,,19,0,0,3
122810,"16-Butan-2-yl-10,11,14-trimethyl-13-propan-2-yl-3-prop-2-enyl-4-oxa-1,8,11,14,17-pentazabicyclo[17.3.0]docosane-2,5,9,12,15,18-hexone",577.7,145.0,1020.0,2.3,41,2,7,5
9809914,C22H19Br4NO3,665.0,59.3,665.0,8.0,30,0,4,7
6441226,Strobilurin H,288.34,44.8,421.0,3.8,21,0,4,7
162117,Thiosultap disodium,355.4,185.0,327.0,,18,0,9,5
11136,4-Chloromercuribenzenesulfonic acid,393.21,62.8,228.0,,12,1,3,1
6524654,"2-(Nitromethylidene)-1,3-thiazinane",160.2,83.2,164.0,1.2,10,1,4,0
5371904,"Cyclopropanecarboxylic acid, 3-(3-methoxy-2-methyl-3-oxo-1-propenyl)-2,2-dimethyl-, 2-methyl-4-oxo-3-(2,4-pentadienyl)-2-cyclopenten-1-yl ester, (1R-(1alpha(S*(Z)),3beta(E)))-",372.5,69.7,751.0,4.4,27,0,5,9
42853,"4H-1,3-Thiazine, 5,6-dihydro-2-(aci-nitromethyl)-",160.2,83.2,164.0,1.2,10,1,4,0
96839,Sebacil,168.23,34.1,153.0,2.1,12,0,2,0
6440839,Strobilurin F,358.4,65.0,567.0,5.0,26,1,5,9
494471,"Methyllycaconitine Perchlorate, Delphinium sp.",682.8,144.0,1380.0,1.0,49,2,11,10
44584063,"dimethyl (1S,4S,5R,6S,7S,8R,11S,12R,14S,15R)-12-acetyloxy-4,7-dihydroxy-6-[(1R,2S,6S,8R,9R,11S)-2-hydroxy-11-methyl-5,7,10-trioxatetracyclo[6.3.1.02,6.09,11]dodec-3-en-9-yl]-6-methyl-14-[(E)-2-methylbut-2-enoyl]oxy-3,9-dioxatetracyclo[6.6.1.01,5.011,15]pentadecane-4,11-dicarboxylate",720.7,215.0,1660.0,-0.6,51,3,16,10
6437379,Strobilurin A,258.31,35.5,371.0,3.9,19,0,3,6
6440579,Milbemycin D,556.7,94.5,1090.0,4.1,40,2,7,1
23687442,"Sulfamic acid, monopotassium salt",135.19,91.6,96.5,,6,1,4,0
53491464,"N-[9-(dichloromethylene)-1,2,3,4-tetrahydro-1,4-methanonaphthalen-5-yl]-3-(difluoromethyl)-1-methylpyrazole-4-carboxamide",398.2,46.9,613.0,4.0,26,1,4,3
98596,"3,5-Dinitro-4-hydroxyphenacetic acid",242.14,149.0,310.0,1.2,17,2,7,2
25193220,"Momfluorothrin, (Z)-",385.4,59.3,628.0,3.2,27,0,8,7
21732,gamma-Chlordane,409.8,0.0,430.0,5.7,18,0,0,0
53627428,Methyl (2Z)-(methoxyimino)(2-((((Z)-(1-(3-(trifluoromethyl)phenyl)ethylidene)amino)oxy)methyl)phenyl)acetate,408.4,69.5,607.0,4.9,29,0,9,8
6435500,Icone,449.8,59.3,736.0,6.1,31,0,7,7
66605777,Imazaquin ammonium salt,328.4,95.5,540.0,,24,2,5,2
23666830,Thiosultap-monosodium,333.4,182.0,395.0,,17,1,9,7
6441102,Strobilurin B,322.8,44.8,454.0,4.5,22,0,4,7
7156993,(S)-(-)-1-Amino-2-(methoxymethyl)pyrrolidine,130.19,38.5,87.1,-0.1,9,1,3,2
10924480,Deltamethrinic acid,297.97,37.3,241.0,3.4,12,1,2,2
16683105,"(mu-((3,3'-Methylenebis(2-naphthalenesulfonato-kappaO))(2-)))diphenyldimercury",981.9,104.0,1010.0,,43,0,6,10
166902,"Sulfamic acid, magnesium salt (2:1)",216.48,183.0,79.2,,11,2,8,0
4228010,Ethylenebis(dithiocarbamate),210.4,90.2,108.0,1.2,10,2,4,3
59105852,Momfluorothrin,385.4,59.3,628.0,3.2,27,0,8,7
14309,4-(Hydroxymercury)Benzoic Acid,339.72,38.3,130.0,,11,2,3,2
5459105,Squamocin G,622.9,105.0,801.0,9.7,44,3,7,25
11759286,"(2R,3S)-epoxiconazole",329.8,43.2,421.0,3.2,23,0,4,4
6033664,"[cyano-(4-fluoro-3-phenoxyphenyl)methyl] 3-[(Z)-2-chloro-2-(4-chlorophenyl)ethenyl]-2,2-dimethylcyclopropane-1-carboxylate",510.4,59.3,825.0,7.6,35,0,5,8
12881582,(1S)-trans-(alphaR)-cyfluthrin,434.3,59.3,679.0,6.2,29,0,5,7
6436289,"(4R,7R,10S,13R,15E,17R,19S)-7-[(2-bromo-1H-indol-3-yl)methyl]-4-(4-hydroxyphenyl)-8,10,13,15,17,19-hexamethyl-1-oxa-5,8,11-triazacyclononadec-15-ene-2,6,9,12-tetrone",709.7,141.0,1140.0,5.6,47,4,6,3
1549061,"(1R,5S)-3-(3,5-dichlorophenyl)-1,5-dimethyl-3-azabicyclo[3.1.0]hexane-2,4-dione",284.13,37.4,405.0,3.0,18,0,2,1
135779804,N-(2-chloro-5-thiazolylmethyl)-N'-methyl-N'-nitroguanidine,249.68,123.0,258.0,1.3,15,2,5,4
16722125,"(5-benzylfuran-3-yl)methyl (1S,3R)-2,2-dimethyl-3-[(E)-(2-oxothiolan-3-ylidene)methyl]cyclopropane-1-carboxylate",396.5,81.8,635.0,5.4,28,0,5,7
6455515,Fenfluthrin,389.1,26.3,510.0,5.1,24,0,7,5
38264,Agent Orange,588.7,71.1,499.0,,35,0,6,14
443046,alpha-Cyhalothrin,449.8,59.3,736.0,6.1,31,0,7,7
9960731,Rel-Squamocin-H,622.9,105.0,801.0,9.7,44,3,7,25
49833,Fendona,416.3,59.3,643.0,6.0,28,0,4,7
135779803,Venom,202.21,91.5,225.0,0.1,14,2,4,4
3800,"7-[(2-bromo-1H-indol-3-yl)methyl]-4-(4-hydroxyphenyl)-8,10,13,15,17,19-hexamethyl-1-oxa-5,8,11-triazacyclononadec-15-ene-2,6,9,12-tetrone",709.7,141.0,1140.0,5.6,47,4,6,3
41507,"Cis-3-(2,2-dichlorovinyl)-2,2-dimethylcyclopropane carboxylic acid",209.07,37.3,241.0,3.3,12,1,2,2
41539,"Trans-3-(2,2-dichlorovinyl)-2,2-dimethylcyclopropane carboxylic acid",209.07,37.3,241.0,3.3,12,1,2,2
138394051,Heptachlor Epoxide B,389.3,12.5,504.0,3.7,18,0,1,0
5460680,p-Mercuribenzoate,320.7,40.1,122.0,,10,0,2,0
54901,"2-Methyl-3-phenylbenzyl 3-(2-chloro-3,3,3-trifluoroprop-1-en-1-yl)-2,2-dimethylcyclopropanecarboxylate",422.9,26.3,622.0,6.0,29,0,5,6
71300428,Milbemycin beta3,494.7,65.0,874.0,7.0,36,1,5,0
23690429,Sodium Thiosalicylate,176.17,41.1,140.0,,11,1,3,1
9832706,Avermectin A1a,887.1,159.0,1740.0,4.4,63,2,14,9
5460701,Hydrogen methylarsonate,138.962,60.4,59.0,,5,1,3,0
469625,2-(Phosphonomethylamino)acetic acid; propan-2-amine,228.18,137.0,168.0,,14,4,6,3
90545,Chloro(2-hydroxy-5-nitrophenyl)mercury,374.14,66.1,175.0,,12,1,3,0
15218577,Solushan,238.06,50.4,181.0,,14,1,3,2
12573515,"Phosphoric acid, 2-bromo-1-(2,4-dichlorophenyl)vinyl dimethyl ester",375.96,44.8,345.0,2.4,18,0,4,5
90657547,(2S)-2-amino-4-(hydroxymethylphosphinyl)butanoyl-L-alanyl-L-alanine,322.27,166.0,441.0,-4.3,21,3,6,7
76957227,Dithane M-45,2664.0,902.0,108.0,,110,20,40,30
86739665,"[2-Methyl(1,1'-biphenyl)-3-yl]methyl cis-3-(2-chloro-3,3,3-trifluoropropenyl)-2,2-dimethylcyclopropanecarboxylate",422.9,26.3,622.0,6.0,29,0,5,6
45380430,Fenaminstrobin,434.3,72.3,614.0,5.1,29,1,5,8
127198,Thiosultap,311.4,179.0,354.0,-3.3,16,2,9,7
11091713,Strobilurin E,456.5,72.5,834.0,5.3,33,0,7,7
36819,"(4-(Methoxymethyl)phenyl)methyl 2,2-dimethyl-3-(2-methyl-1-propen-1-yl)cyclopropanecarboxylate",302.4,35.5,412.0,5.1,22,0,3,7
5370021,Chrysanthemumdicarboxylic acid,198.22,74.6,314.0,1.2,14,2,4,3
441555,"(2S)-4-((2S,13R)-2,13-Dihydroxy-13-((2R,5R)-5-((2R,5R)-5-((1R)-1-Hydroxyundecyl)Oxolan-2-Yl)Oxolan-2-Yl)Tridecyl)-2-Methyl-2H-Furan-5-One",622.9,105.0,801.0,9.7,44,3,7,25
11947680,(S)-cyano(3-phenoxyphenyl)methyl (2R)-2-(4-chlorophenyl)-3-methylbutanoate,419.9,59.3,586.0,6.2,30,0,4,8
136257761,Clothianidin-d3,252.7,123.0,258.0,1.3,15,2,5,4
31621,"2-Methyl-4-oxo-3-(prop-2-ynyl)cyclopent-2-en-1-yl 2,2-dimethyl-3-(2-methylprop-1-enyl)cyclopropanecarboxylate",300.4,43.4,620.0,4.3,22,0,3,5
6436133,"(1'R,2R,3S,4'S,6S,8'R,10'E,13'S,14'E,16'E,20'R,21'R,24'S)-2-cyclohexyl-21',24'-dihydroxy-12'-[(2R,4S,6S)-5-[(2S,4S,5S,6S)-5-hydroxy-4-methoxy-6-methyloxan-2-yl]oxy-4-methoxy-6-methyloxan-2-yl]oxy-3,11',13',22'-tetramethylspiro[2,3-dihydropyran-6,6'-3,7,19-trioxatetracyclo[15.6.1.14,8.020,24]pentacosa-10,14,16,22-tetraene]-2'-one",899.1,170.0,1790.0,4.5,64,3,14,7
29934831,"(2-methyl-3-phenylphenyl)methyl (1R,3S)-3-[(E)-2-chloro-3,3,3-trifluoroprop-1-enyl]-2,2-dimethylcyclopropane-1-carboxylate",422.9,26.3,622.0,6.0,29,0,5,6
